level,CLP_ID,node_bf,License_Type,Region,Sub_Region_Group,node_af,level1
2,635a00f7-d70d-4041-91b2-7d8e52449e74,Only UI,Essential Access,Americas,North America,ui_week_cnt: 1,2
2,1b8e31dc-3234-4b53-80ff-307127904d0f,Only UI,Essential Access,AMEA,APAC exclude Pan Asia,ui_week_cnt: 1,2
2,2a0aaf02-abc7-427b-be5e-26deed2f69e9,Only UI,Essential Access,Americas,Latin America,ui_week_cnt: 1,2
2,8c5ebca8-2fa3-43d3-bdf3-95e2e53e3312,Only UI,Trial,Americas,Latin America,ui_week_cnt: 1,2
2,5ba111be-e0de-4851-bb5a-3a3b8640be43,Only UI,Trial,Japan,Japan,ui_week_cnt: 1,2
2,6efe3807-c02a-4ea7-b2c2-8d5801adaa7f,Only UI,Trial,Europe,Southern Europe,ui_week_cnt: 1,2
2,44ec728a-a750-4662-8ee4-9abd18218109,Only UI,Trial,AMEA,MMEA,ui_week_cnt: 1,2
2,ec8ad9c5-9195-4758-89b9-97b044ee3233,Only API,Trial,Europe,Nordics,api_week_cnt: 5,2
2,2a48558d-f300-45a4-852e-e585879a3aa9,Only UI,Paid,Americas,Latin America,ui_week_cnt: 1,2
2,33a0b9ce-5973-4555-8f6c-db4f307660e2,Only UI,Essential Access,Americas,North America,ui_week_cnt: 1,2
2,ac636ac4-f6a5-47fd-88be-855d874ce752,Only API,Paid,AMEA,Pan Asia,api_week_cnt: 5,2
2,605e3baa-dad4-4c2b-bb08-e34b585a5e83,Only API,Essential Access,AMEA,MMEA,api_week_cnt: 2,2
2,5fefb820-e9f1-4204-b038-854a9629f5c7,Only UI,Essential Access,Americas,North America,ui_week_cnt: 1,2
2,67b9fef5-d36e-407f-bfae-3992ac22443b,Only UI,Essential Access,Europe,Germany,ui_week_cnt: 1,2
2,06e51423-9935-4c3f-9125-91007398111d,Only UI,Trial,Europe,Southern Europe,ui_week_cnt: 1,2
2,75103f75-04c1-4f1b-9fef-f7a976dca7dc,Only UI,Trial,Americas,North America,ui_week_cnt: 1,2
2,e27799c1-0351-4952-b09f-62ae01d24415,Only UI,Trial,Americas,Latin America,ui_week_cnt: 1,2
